age,education_level,study_hours_per_day,uses_ai,ai_tools_used,purpose_of_ai,grades_before_ai,grades_after_ai,daily_screen_time_hours,grade_improvement,user_category
17,college,3.2,No,None,None,72,72,2,0,Non-User
14,school,1.3,Yes,Copilot,Homework,66,80,6,14,AI User
15,school,2.7,Yes,Gemini,Research,56,66,3,10,AI User
19,college,2.0,Yes,Gemini,Coding,68,82,7,14,AI User
15,school,4.7,Yes,ChatGPT,Homework,68,73,3,5,AI User
19,college,4.7,No,None,None,62,62,4,0,Non-User
15,school,4.1,Yes,Gemini,Homework,70,78,3,8,AI User
17,college,2.4,Yes,ChatGPT,Homework,61,72,4,11,AI User
16,school,4.5,No,None,None,66,66,7,0,Non-User
18,college,2.6,No,None,None,55,55,2,0,Non-User
16,school,1.7,No,None,None,56,56,2,0,Non-User
18,college,2.7,No,None,None,68,68,6,0,Non-User
18,college,1.5,Yes,Gemini,Homework,68,73,6,5,AI User
18,college,3.7,Yes,Gemini,Research,57,72,4,15,AI User
18,college,2.3,Yes,Copilot,Research,71,80,7,9,AI User
17,college,2.3,No,None,None,72,72,3,0,Non-User
15,school,2.7,No,None,None,60,60,6,0,Non-User
18,college,2.2,Yes,Gemini,Research,61,72,6,11,AI User
18,college,3.6,No,None,None,69,69,5,0,Non-User
19,college,1.9,No,None,None,60,60,7,0,Non-User
14,school,2.1,No,None,None,57,57,3,0,Non-User
19,college,2.2,Yes,ChatGPT,Homework,56,64,5,8,AI User
18,college,4.4,Yes,Gemini,Research,75,89,3,14,AI User
19,college,3.8,No,None,None,67,67,3,0,Non-User
15,school,3.6,Yes,ChatGPT,Research,62,69,7,7,AI User
18,college,2.9,Yes,ChatGPT,Research,59,71,7,12,AI User
18,college,5.0,No,None,None,69,69,6,0,Non-User
19,college,4.6,No,None,None,72,72,5,0,Non-User
15,school,4.0,No,None,None,69,69,4,0,Non-User
15,school,4.4,No,None,None,71,71,5,0,Non-User
19,college,2.0,No,None,None,57,57,7,0,Non-User
16,school,1.9,No,None,None,65,65,6,0,Non-User
14,school,1.6,Yes,Gemini,Coding,59,67,2,8,AI User
17,college,2.6,No,None,None,68,68,2,0,Non-User
15,school,4.3,No,None,None,73,73,7,0,Non-User
14,school,4.4,No,None,None,70,70,2,0,Non-User
16,school,2.2,No,None,None,68,68,6,0,Non-User
19,college,3.9,Yes,Gemini,Homework,63,74,5,11,AI User
14,school,2.6,No,None,None,60,60,5,0,Non-User
15,school,4.9,Yes,Gemini,Coding,73,88,2,15,AI User
